order_id,order_date,customer_id,product_category,region,quantity,unit_price,discount,payment_method,delivery_days,customer_rating,revenue
75722,2025-12-16,5782ee53-35db-44d5-bfb4-4095312a9fbe,Toys,Oceania,4,316.29,0.0,PayPal,8.0,4.9,1265.16
80185,2025-11-17,efa5cf36-e7d4-4742-b916-8e444347abf9,Sports,Asia,4,393.399,0.05,PayPal,6.0,4.7,1494.92
19865,2024-06-02,a6916820-1df2-4a39-b615-097059abd2db,Beauty,Africa,5,385.55,0.15,Cash,7.0,3.8,1638.59
76700,2025-01-07,f731e8db-4972-4cf8-8525-f35944af95d9,Beauty,Africa,1,305.31,0.0,Cash,4.0,3.9,305.31
92992,2023-06-02,467b094c-2258-449a-b2f3-d87d62f7c65e,Beauty,Asia,1,183.07,0.0,BankTransfer,6.0,4.5,183.07
76435,2023-03-07,3e773705-cb10-4e5b-bb0c-85e2a9bb8ea1,Home,Oceania,1,447.53,0.1,Cash,5.0,3.0,402.78
84005,2023-09-07,3e0c9abe-8483-430f-a2e7-f92c9e1068b4,Home,South America,2,400.45,0.1,PayPal,2.0,2.8,720.81
80918,2024-04-25,2e277539-b71d-4c90-8736-e0d79c47e99b,Beauty,Oceania,5,82.21,0.0,PayPal,9.0,2.0,411.05
60768,2023-07-24,b61578b3-1b95-452e-a97d-b63144c769c0,Toys,Asia,5,443.62,0.0,BankTransfer,6.0,3.9,2218.1
50075,2024-04-07,5775c64c-80e8-4ec7-bcb1-1ea983d7b71e,Toys,Oceania,1,367.64,0.0,Cash,4.0,3.0,367.64
27702,2023-11-01,4d014aad-a2bb-455b-8ffa-c6a9e306a0b1,Fashion,Africa,5,19.665000000000003,0.15,PayPal,9.0,2.6,83.58
42142,2023-05-07,2062508e-4b5a-4c21-bea6-b3ffd5f43ea5,Automotive,Europe,1,449.88,0.15,PayPal,1.0,4.8,382.4
45081,2023-08-04,f3d5f858-88a4-4745-a155-467b806eed0e,Beauty,Oceania,3,198.9,0.0,PayPal,6.0,2.1,596.7
16639,2025-10-29,3d96ce1a-52b2-4455-a0d3-77ac621d6235,Automotive,Oceania,3,218.38,0.0,Cash,4.0,2.0,655.14
20425,2024-02-12,d63327dc-68a6-4c04-b889-cc66471c5a71,Fashion,Europe,4,439.04,0.0,Cash,7.0,4.7,1756.16
88703,2024-09-25,2c485eaa-bdf4-4a6e-967c-b4617721025f,Home,North America,3,317.64,0.15,CreditCard,6.0,3.2,809.98
150,2025-05-08,b0e6a969-e213-42b0-b1ee-dba313432e61,Automotive,South America,2,113.95,0.05,PayPal,7.0,4.9,216.5
1762,2025-10-20,a7939a2e-34f4-4404-8ff5-070182226c16,Toys,North America,1,105.13,0.05,CreditCard,2.0,4.7,99.87
63121,2025-01-30,e5057071-932f-4d84-9318-85081ad7587c,Automotive,Africa,1,16.35,0.0,Cash,9.0,2.8,16.35
69162,2025-03-18,b7eb565d-a286-4e8a-bef6-592d7634e1a7,Electronics,Asia,1,165.19,0.0,Cash,1.0,4.0,165.19
64884,2024-11-03,bd778a5f-9402-4cf2-a1cc-e66d92b9876c,Toys,Asia,6,238.599,0.0,PayPal,2.0,3.7,1431.59
2496,2025-03-19,9ad2bb72-b04b-4584-b95c-ec2d7bd15655,Sports,South America,3,208.3,0.0,BankTransfer,3.0,3.9,624.9
80297,2025-10-21,0fd2f509-3bd2-41ec-916e-a6f1114f0eab,Sports,Africa,5,169.27,0.0,Cash,5.0,4.1,846.35
19448,2023-08-15,fbc9a5c6-e7f8-46fe-8c8b-2b58e6fdb144,Sports,South America,2,261.7,0.15,Cash,7.0,3.5,444.89
41332,2023-12-15,62b51691-eebf-438f-b8ce-6a2e74ba0303,Fashion,Asia,3,430.19,0.1,PayPal,9.0,2.9,1161.51
14889,2025-04-22,960c05cd-2ad7-47bd-86a2-2cdadcd3cdcc,Toys,North America,2,368.12,0.0,PayPal,6.0,3.2,736.24
88637,2024-01-17,7fde482a-b471-46b8-9e15-3c5cc082ee29,Beauty,North America,4,86.19,0.0,Cash,3.0,4.7,344.76
94893,2023-07-18,ab49eb2b-d5c9-4aee-a702-bf8c26123628,Home,Asia,4,309.63,0.05,PayPal,6.0,4.7,1176.59
92732,2024-11-09,bcc7d412-e2b0-4e9c-aebd-34002463c11b,Electronics,Oceania,4,71.18100000000001,0.05,PayPal,4.0,4.8,270.49
29131,2025-11-24,1d2c951f-8427-48d7-ad16-dc604f818984,Home,North America,4,233.604,0.0,CreditCard,5.0,3.3,934.42
79023,2025-01-04,a6181a96-d793-4f1f-bd19-6f8e999a4242,Fashion,Asia,2,163.39,0.0,Cash,3.0,2.0,326.78
84937,2025-09-03,2acdb86b-9e0f-40ec-b41d-32a64d04afc6,Electronics,North America,4,477.13,0.05,BankTransfer,5.0,3.6,1813.09
16822,2023-05-25,3eed5faf-c100-48ca-84dd-9975e3b5dd9f,Home,North America,3,9.21,0.1,CreditCard,3.0,2.0,24.87
36734,2024-02-24,f7797551-298a-4b44-b349-9a5e1cc4ec86,Sports,Asia,3,194.57,0.0,Cash,1.0,2.7,583.71
15603,2025-03-24,1678c235-26a3-4e64-8ab5-fb870fbb4d44,Home,Oceania,3,420.49,0.0,PayPal,5.0,2.8,1261.47
28534,2025-04-30,5b00b3cf-f4d3-4ca5-938e-f58e19d56bd5,Automotive,,4,225.44,0.0,Cash,8.0,2.5,901.76
69770,2024-12-01,6e7415b8-5c96-456e-b61e-7da267b8f283,Sports,Europe,2,160.0,0.15,BankTransfer,5.0,3.3,272.0
11406,2025-01-15,471886d9-893a-4348-835f-2c0648ae3a47,Electronics,North America,2,60.91,0.15,BankTransfer,2.0,2.6,103.55
96853,2024-03-23,7c6d6de2-d090-44b8-88d0-0d354da17273,Toys,Asia,3,417.14,0.0,CreditCard,2.0,3.0,1251.42
16131,2023-01-16,edecae6a-68ee-4fdb-8054-a1debd40659e,Home,Africa,4,164.84,0.0,BankTransfer,5.0,2.0,659.36
19793,2023-04-12,1b22009a-e2fa-46be-91ce-0cac665d76d7,Sports,Europe,5,151.63,0.05,CreditCard,2.0,2.2,720.24
89578,2023-10-01,38a08d59-8929-484e-9c34-0d675d0126fc,Home,Africa,1,40.88,0.0,PayPal,4.0,3.6,40.88
40164,2023-12-02,e1d2f4ec-2304-45d2-abe9-599384354724,Beauty,Asia,5,130.98,0.0,Cash,4.0,2.2,654.9
31777,2025-09-15,a0fb6a0d-36e4-42e0-95c4-cad7f31d81a7,Fashion,Europe,1,304.78,0.0,BankTransfer,9.0,5.0,304.78
25331,2023-12-19,5c02ecd8-f83a-4522-9c58-79da02bc44a8,Sports,Asia,3,102.25,0.05,Cash,1.0,4.8,291.41
79157,2024-03-29,59e11431-8aff-427e-a3a2-52c846696666,Fashion,Asia,2,213.12,0.0,BankTransfer,1.0,2.4,426.24
51686,2025-12-06,d98cf11b-b16c-4719-b299-60e10ee2ed66,Home,Africa,2,332.39,0.0,CreditCard,3.0,2.3,664.78
75499,2024-02-28,680d0f8e-bd3c-465c-9ff1-19fe366d2aba,Automotive,Asia,5,499.62,0.05,Cash,6.0,3.4,2373.19
4728,2025-02-25,6a429bd5-cd71-42b4-9471-104f1859c5ae,Toys,Asia,2,203.83,0.1,,3.0,2.8,366.89
85199,2023-01-15,70882740-b9b6-41ff-b69b-a6ad05cb8ff0,Electronics,South America,5,450.78,0.0,Cash,6.0,2.3,2253.9
35796,2024-12-29,850a464d-198c-43a5-892f-d83b29bd0d23,Fashion,Oceania,2,176.8,0.15,BankTransfer,5.0,4.2,300.56
12257,2025-04-30,3df8c0c9-d66b-4c9e-8d65-86ee1edb568b,Beauty,Africa,2,111.04,0.15,PayPal,8.0,2.2,188.77
35719,2023-03-29,f721eaa3-0d5e-4a0b-bfba-30b1ded711b7,Fashion,North America,2,365.1,0.0,PayPal,4.0,3.1,730.2
70552,2023-05-20,984b8e95-59fb-407a-a967-8a7605d48307,Fashion,Europe,1,333.3,0.0,PayPal,7.0,2.1,333.3
